home_fd,away_fd,match_round,content_type,highlight_idx,player,minute,is_goal,event_type,commentary
FSV Mainz 05,Leverkusen,0,highlight,2,Robert Andrich,67,1,shot,"[calm, building] Andrich circling, looking for space... [EXCITED] HERE'S THE CHANCE! [SHOUTING] TOOOOOR! TOOOOOR! [crowd cheering] [pause] [warmly] One of four for the campaign—what an improbable finish from that impossible angle! TOOOOOR!"
FSV Mainz 05,Leverkusen,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, wo Bayer Leverkusen heute gegen FSV Mainz 05 antreten. [EXCITED] Die Werkself sichert sich einen hart erkämpften 2-1-Sieg, nachdem Mainz auf zehn Mann reduziert wurde — Xhaka und Andrich treffen [warmly] in einem Spiel voller Dramatik."
Leverkusen,Darmstadt 98,0,highlight,0,Oscar Vilhelmsson,27,0,shot,"[calm, building] Twenty-seven minutes, Darmstadt sensing an opening... [EXCITED] Vilhelmsson into the box, the chance is there! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Oscar Vilhelmsson strikes! A lifeline for the visitors in this crucial hour.

GOAAAAAL!"
Leverkusen,Darmstadt 98,0,highlight,1,Nathan Tella,32,1,shot,"[calm, building] Tella prowls at the edge... a difficult chance materializes... [EXCITED] he strikes! [SHOUTING] GOOOAAL! BUUUT! [crowd cheering] [pause] [warmly] One of his five for the campaign—the impact sub delivers when Leverkusen needs him most."
Leverkusen,Darmstadt 98,0,highlight,2,Borja Iglesias Quintas,40,0,shot,"[calm, building] Iglesias into the box, space opening... [EXCITED] HERE'S THE CHANCE! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Borja Iglesias, clinical finish—Leverkusen's resilience on full display. GOAAAAAL!"
Leverkusen,Darmstadt 98,0,highlight,3,Nathan Tella,51,1,shot,"[calm, building] The second half breathes new life into Leverkusen's attack...

[EXCITED] Tella cuts inside, difficult angle, can he find it?

[SHOUTING] GOOOAAL! BUUUT! [crowd cheering]

[pause]

[warmly] A brace for the impact substitute—one of his five crucial goals this campaign. Leverkusen's dominance complete."
Leverkusen,Darmstadt 98,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zum BayArena, where Die Werkself have just delivered a commanding performance against Darmstadt 98. [EXCITED] Nathan Tella wrote his name into tonight's script with a brilliant brace [warmly] in what proved to be a dominant 2-0 victory."
M'gladbach,Leverkusen,0,highlight,0,Florian Wirtz,22,0,shot,"[calm, building] Wirtz into the box, twenty-two minutes... [EXCITED] he shapes to shoot! [SHOUTING] TOOOOOR! TOOOOOR! [crowd cheering] [pause] [warmly] One of his eleven for the campaign—the creative heartbeat strikes again. TOOOOOR!"
M'gladbach,Leverkusen,0,highlight,1,Jeremie Frimpong,56,0,shot,"[calm, building] Frimpong charges forward, this is the moment...
[EXCITED] He strikes it! [SHOUTING] GOAAAAAL! DOELPUNT! [crowd cheering]
[pause]
[warmly] One of his nine for the season—the fullback's brilliance on display."
M'gladbach,Leverkusen,0,highlight,2,Nathan Tella,91,0,shot,"[calm, building] Tella in the box, ninety-first minute, one last chance...
[EXCITED] He's got it! He strikes!
[SHOUTING] GOOOAAL! BUUUT! [crowd cheering]
[pause]
[warmly] One of his five for the campaign—the impact sub delivers when it matters most."
M'gladbach,Leverkusen,0,intro,-1,,0,0,intro,"[calm, building] Willkommen in der BayArena, where Leverkusen's Die Werkself prepare to face Mönchengladbach in this crucial encounter. [EXCITED] Two sides determined to claim the points [warmly] in what promises to be a tightly contested battle."
Leverkusen,RB Leipzig,0,highlight,0,Xavi Simons,6,1,shot,"[calm, building] Simons circling inside the box, tight angle... [EXCITED] HERE'S THE CHANCE— [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] What a finish from Xavi Simons! A difficult strike, and Leipzig draw level in the sixth minute. GOAAAAAL!"
Leverkusen,RB Leipzig,0,highlight,1,Nathan Tella,46,1,shot,"[calm, building] Tella sensing the moment at the stroke of halftime...

[EXCITED] He's in, he's positioned perfectly—

[SHOUTING] GOOOAAAAAL! BUUUT! [crowd cheering]

[pause]

[warmly] One of five crucial goals this season—the impact substitute strikes to level it. Leverkusen breathing again."
Leverkusen,RB Leipzig,0,highlight,2,Ikoma Loïs Openda,55,1,shot,"[calm, building] Openda circling, looking for redemption here...

[EXCITED] He finds space! The shot comes in—difficult angle—

[SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering]

[pause]

[warmly] Ikoma Loïs Openda breathes life back into Leipzig's afternoon. 2-1. A goal of character, though the mountain still stands tall.

GOAAAAAL!"
Leverkusen,RB Leipzig,0,highlight,3,Jonathan Tah,62,1,shot,"[calm, building] Tah steps up from the back, a rare moment of attacking thrust... [EXCITED] he strikes it clean, difficult chance, here it comes— [SHOUTING] GOOOAAL! TOOOOOR! [crowd cheering] [pause] [warmly] Jonathan Tah! One of his four for the season, and Leverkusen are level at two! TOOOOOR! The centre-back writes another chapter in their remarkable campaign."
Leverkusen,RB Leipzig,0,highlight,4,Piero Martín Hincapié Reyna,90,1,shot,"[calm, building] Ninety minutes... Hincapié steps forward...

[EXCITED] A defender's moment, a striker's finish—

[SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering]

[pause]

[warmly] One precious goal for the season, and it arrives when Leverkusen need it most. Poetry from the back.

GOAAAAAL!"
Leverkusen,RB Leipzig,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, where Leverkusen and Leipzig meet in a clash of attacking ambition. [EXCITED] Tella, Tah, and Reyna find the net in a thrilling 3-2 victory for Die Werkself [warmly] today."
